product_name,brand,category,adulterant,detection_method,severity,health_risk,action_taken
Butter,BrandB,Dairy,Artificial sweeteners,Microbiological Analysis,Moderate,Low,Product Recall
Chicken,BrandC,Meat,Coloring agents,Sensory Evaluation,Severe,Medium,Warning Issued
Yogurt,BrandC,Dairy,Artificial sweeteners,Sensory Evaluation,Severe,High,Investigation Launched
Wine,BrandB,Beverages,Coloring agents,Spectroscopy,Minor,Medium,Product Recall
Bread,BrandD,Dairy,Water,Chemical Analysis,Severe,Medium,Warning Issued
Wine,BrandD,Beverages,Melamine,Microbiological Analysis,Severe,Medium,Investigation Launched
Beef,BrandC,Meat,Melamine,Chemical Analysis,Minor,Medium,Investigation Launched
Juice,BrandD,Beverages,Melamine,Chemical Analysis,Moderate,High,Fine Imposed
Chicken,BrandC,Meat,Artificial sweeteners,Microbiological Analysis,Minor,Low,Investigation Launched
Milk,BrandA,Dairy,Melamine,Spectroscopy,Moderate,Medium,Fine Imposed
Cheese,BrandA,Dairy,Coloring agents,Sensory Evaluation,Moderate,Low,Investigation Launched
Milk,BrandA,Dairy,Melamine,Sensory Evaluation,Moderate,Low,Warning Issued
Bread,BrandC,Dairy,Chalk,Chemical Analysis,Minor,High,Product Recall
Beef,BrandA,Meat,Chalk,Chemical Analysis,Moderate,Medium,Warning Issued
Juice,BrandA,Beverages,Melamine,Sensory Evaluation,Severe,Low,Investigation Launched
Honey,BrandB,Condiments,Melamine,Spectroscopy,Minor,Medium,Investigation Launched
Wine,BrandE,Beverages,Melamine,Chemical Analysis,Severe,Low,Product Recall
Yogurt,BrandB,Dairy,Chalk,Spectroscopy,Moderate,High,Investigation Launched
Honey,BrandE,Condiments,Melamine,Spectroscopy,Minor,Medium,Fine Imposed
Honey,BrandC,Condiments,Coloring agents,Microbiological Analysis,Moderate,Low,Investigation Launched
Wine,BrandE,Beverages,Coloring agents,Spectroscopy,Moderate,Medium,Fine Imposed
Cheese,BrandA,Dairy,Melamine,Microbiological Analysis,Moderate,High,Fine Imposed
Wine,BrandD,Beverages,Coloring agents,Spectroscopy,Severe,Low,Product Recall
Milk,BrandE,Dairy,Melamine,Sensory Evaluation,Minor,Medium,Warning Issued
Juice,BrandC,Beverages,Coloring agents,Chemical Analysis,Moderate,High,Investigation Launched
Honey,BrandE,Condiments,Chalk,Chemical Analysis,Severe,High,Warning Issued
Chicken,BrandE,Meat,Coloring agents,Spectroscopy,Minor,Low,Warning Issued
Cheese,BrandC,Dairy,Chalk,Sensory Evaluation,Moderate,Medium,Investigation Launched
Beef,BrandC,Meat,Melamine,Spectroscopy,Moderate,High,Product Recall
Beef,BrandE,Meat,Melamine,Spectroscopy,Moderate,Medium,Product Recall
Chicken,BrandA,Meat,Water,Microbiological Analysis,Minor,Medium,Fine Imposed
Honey,BrandB,Condiments,Melamine,Spectroscopy,Moderate,High,Fine Imposed
Yogurt,BrandE,Dairy,Chalk,Microbiological Analysis,Moderate,Medium,Investigation Launched
Honey,BrandD,Condiments,Water,Spectroscopy,Severe,High,Fine Imposed
Juice,BrandE,Beverages,Water,Spectroscopy,Moderate,Low,Product Recall
Honey,BrandE,Condiments,Melamine,Microbiological Analysis,Severe,Medium,Warning Issued
Yogurt,BrandA,Dairy,Water,Microbiological Analysis,Moderate,High,Investigation Launched
Honey,BrandA,Condiments,Artificial sweeteners,Spectroscopy,Severe,Low,Warning Issued
Cheese,BrandD,Dairy,Coloring agents,Spectroscopy,Minor,High,Product Recall
Yogurt,BrandC,Dairy,Melamine,Microbiological Analysis,Minor,Medium,Fine Imposed
Juice,BrandD,Beverages,Chalk,Chemical Analysis,Minor,High,Product Recall
Milk,BrandD,Dairy,Artificial sweeteners,Microbiological Analysis,Severe,Low,Investigation Launched
